,departure.iataCode,arrival.iataCode,airline.name,flight.number,delay_total_min,departure.month,flight_duration_min,delay_true
3346,gru,cgr,ethiopian airlines,4098,32,7,50,1
3347,gru,cgr,tap air portugal,4080,32,7,50,1
3348,gru,cgr,gol,9122,32,7,50,1
3349,rec,fen,azul,4718,33,8,165,1
3350,rec,fen,azul,4403,29,8,165,1
3351,gru,cgr,delta air lines,7413,23,7,50,1
3352,gru,cgr,iberia,7031,23,7,50,1
3353,gru,cgr,qatar airways,5162,23,7,50,1
3354,gru,cgr,delta air lines,6305,23,7,50,1
3355,gru,cgr,latam airlines,3119,23,7,50,1
3356,cgh,cgr,gol,1476,23,8,50,1
3357,gru,cgr,sa avianca,4795,26,8,50,1
3358,gru,cgr,copa airlines,3606,26,8,50,1
3359,gru,cgr,ethiopian airlines,4148,26,8,50,1
3360,gru,cgr,air europa,2371,26,8,50,1
3361,gru,cgr,air france,1908,26,8,50,1
3362,gru,cgr,south african airways,2338,26,8,50,1
3363,gru,cgr,gol,1422,26,8,50,1
3364,vcp,cgr,azul,2713,42,8,40,1
3365,vcp,cgr,azul,2713,40,8,35,1
3366,cgh,cgr,gol,9060,29,8,50,1
3367,vcp,cgr,azul,2700,29,8,35,1
3368,cgh,cgr,gol,1476,23,8,50,1
3369,rec,fen,azul,4466,31,9,165,1
3370,cgh,cgr,gol,1476,27,9,50,1
3371,gig,cgr,klm,9358,23,9,85,1
3372,gig,cgr,gol,9082,23,9,85,1
3373,bsb,cgr,latam airlines,3806,27,9,40,1
3374,cwb,cgr,azul,2677,36,9,30,1
3375,gru,cgr,iberia,7031,29,9,50,1
3376,gru,cgr,qatar airways,5206,29,9,50,1
3377,gru,cgr,latam airlines,3819,29,9,50,1
3378,rec,fen,azul,9126,26,10,165,1
3379,gru,cgr,qatar airways,5206,23,10,50,1
3380,gru,cgr,latam airlines,3819,23,10,50,1
3381,gru,cgr,air france,1965,23,10,55,1
3382,gru,cgr,aerolineas argentinas,7632,23,10,55,1
3383,gru,cgr,emirates,3725,23,10,55,1
3384,gru,cgr,ethiopian airlines,4132,23,10,55,1
3385,gru,cgr,klm,9382,23,10,55,1
3386,gru,cgr,tap air portugal,4125,23,10,55,1
3387,gru,cgr,air europa,2691,23,10,55,1
3388,gru,cgr,south african airways,2345,23,10,55,1
3389,gru,cgr,gol,1496,23,10,55,1
3390,gig,cgr,gol,9082,24,10,85,1
3391,gru,cgr,air france,1965,23,10,55,1
3392,gru,cgr,aerolineas argentinas,7632,23,10,55,1
3393,gru,cgr,emirates,3725,23,10,55,1
3394,gru,cgr,ethiopian airlines,4132,23,10,55,1
3395,gru,cgr,klm,9382,23,10,55,1
